trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
242,False,"{'a': 0.005, 'e': 0.35301940121933034}",25,14,-44.52935020741072,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
243,False,"{'a': 0.005, 'e': 0.348336927970217}",25,1,-42.29882584766167,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
244,False,"{'a': 0.005, 'e': 0.34364574631604705}",35,4,-23.835469012624483,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 1}",1
245,False,"{'a': 0.005, 'e': 0.3389459735361172}",20,10,21.640258447109336,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.005, 'e': 0.3342377271245026}",20,7,16.437603960952508,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.005, 'e': 0.32952112478711787}",20,3,-27.641188081348417,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
248,False,"{'a': 0.005, 'e': 0.32479628443877623}",35,0,-29.408082752792982,"{0: 29, 1: 1, 2: 3, 3: 2, 4: 0}",0
249,False,"{'a': 0.005, 'e': 0.32006332420023986}",20,12,-4.461455665543295,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.005, 'e': 0.3153223623952687}",20,0,5.949697947498423,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
251,False,"{'a': 0.005, 'e': 0.3105735175476604}",20,9,-35.992514902186215,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
252,False,"{'a': 0.005, 'e': 0.3058169083782893}",25,11,10.593216728799762,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.005, 'e': 0.3010526538021365}",25,6,31.230747304794694,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.005, 'e': 0.2962808729253187}",20,5,13.234298171231572,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.005, 'e': 0.2915016850421088}",30,18,22.627916254264637,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.005, 'e': 0.28671520963195546}",20,14,10.333064945671307,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.005, 'e': 0.2819215663564944}",20,11,14.25742292948971,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.005, 'e': 0.2771208750565576}",20,8,-18.509022928352397,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
259,False,"{'a': 0.005, 'e': 0.272313255749178}",20,16,6.362187690706755,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.005, 'e': 0.26749882862458735}",35,22,-5.306463341830016,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
261,False,"{'a': 0.005, 'e': 0.26267771404321355}",30,12,30.393451220711313,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.005, 'e': 0.2578500325326696}",20,6,-6.862137392413074,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.005, 'e': 0.25301590478474223}",20,14,13.187813063234294,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.005, 'e': 0.2481754516523729}",20,15,3.8804753698878462,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.005, 'e': 0.24332879414663827}",30,16,14.037444642937869,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.005, 'e': 0.23847605343372313}",20,12,5.897522900019918,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.005, 'e': 0.23361735083189297}",20,5,13.328568768326704,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.005, 'e': 0.22875280780845939}",30,19,11.463252732556448,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.005, 'e': 0.22388254597674498}",25,13,-33.87605974396722,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
270,False,"{'a': 0.005, 'e': 0.2190066870930415}",25,16,2.815251501769356,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.005, 'e': 0.21412535305356747}",25,12,-15.51627783176784,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
272,False,"{'a': 0.005, 'e': 0.20923866589141926}",30,23,-29.85765247262879,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
273,False,"{'a': 0.005, 'e': 0.2043467477735218}",20,8,19.378108159351296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.005, 'e': 0.19944972099757285}",20,13,10.917079568861283,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.005, 'e': 0.19454770798898718}",20,0,27.51993383855559,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.005, 'e': 0.18964083129783424}",25,13,5.440031844633605,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.005, 'e': 0.1847292135957762}",20,7,23.893800455046232,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.005, 'e': 0.17981297767299934}",25,10,-38.052056326071614,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
279,False,"{'a': 0.005, 'e': 0.17489224643514614}",20,9,20.64560917572141,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.005, 'e': 0.16996714290024081}",25,6,-39.92939667741743,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
281,False,"{'a': 0.005, 'e': 0.16503779019561562}",25,20,9.872332673169527,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.005, 'e': 0.16010431155483126}",30,6,28.603557587942404,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.005, 'e': 0.15516683031459658}",30,24,12.452073366424857,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.005, 'e': 0.15022546991168584}",20,14,1.0181007905354147,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.005, 'e': 0.14528035387985133}",20,16,8.916866512170152,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.005, 'e': 0.1403316058467367}",30,13,-14.198844620915017,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
287,False,"{'a': 0.005, 'e': 0.13537934953078465}",20,16,7.556450015231312,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.005, 'e': 0.13042370873814554}",20,6,-17.01609467244073,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
289,False,"{'a': 0.005, 'e': 0.12546480735958065}",20,9,-5.823698258923363,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
290,False,"{'a': 0.005, 'e': 0.1205027693673666}",20,15,7.715220725262016,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.005, 'e': 0.11553771881219435}",25,18,15.470980345678734,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.005, 'e': 0.11056977982006957}",20,13,16.17123965947545,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.005, 'e': 0.10559907658920793}",25,15,9.327160208931025,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.005, 'e': 0.10062573338693172}",20,3,23.65538002441323,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.005, 'e': 0.09564987454656154}",25,7,35.557758237729246,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.005, 'e': 0.09067162446430967}",25,19,13.582391696372735,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.005, 'e': 0.08569110759616845}",35,7,21.8766084945145,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
298,False,"{'a': 0.005, 'e': 0.08070844845480062}",20,8,23.922997993792997,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.005, 'e': 0.07572377160642475}",20,9,19.28799810751949,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.005, 'e': 0.0707372016677029}",25,11,25.085609586365123,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.005, 'e': 0.06574886330262336}",30,8,32.10129638875504,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.005, 'e': 0.0607588812193859}",20,10,18.008671477937984,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.005, 'e': 0.05576738016728225}",25,14,21.21902783010794,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.005, 'e': 0.05077448493357918}",20,16,9.911313849747598,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.005, 'e': 0.04578032034039706}",20,10,19.12908728184699,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.005, 'e': 0.040785011241591035}",20,14,9.189744132858586,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.005, 'e': 0.03578868251962797}",30,16,29.000983423621328,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.005, 'e': 0.030791459082466124}",25,8,30.395776016435697,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.005, 'e': 0.02579346586043094}",35,20,31.029142191875284,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.005, 'e': 0.02079482780309243}",20,8,8.896220082071094,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
311,False,"{'a': 0.005, 'e': 0.01579566987614213}",30,22,14.950950921839556,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.005, 'e': 0.010796117058267392}",20,7,22.906865037655628,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.005, 'e': 0.00579629433802872}",20,4,26.021229714228387,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,13.646767234190184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,20,10.300594626306738,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,33.1643555796569,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,34.303208575264755,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,20,21.922708843947095,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,18,24.32328203959234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,7,32.60603382581356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,25,18.988645244875723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,16.050620057125894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,19.78078888648126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,15,18.932749567460785,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,3,32.313770194999954,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,12,37.82316242200582,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,13,22.653106935835297,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,15,16.791094633343338,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,12,17.244723300556338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,10,17.793076703311467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,14,21.327712642105038,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,14,20.49788826151419,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,16,24.24235127005726,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",35,9,44.0769549837148,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,9,17.978025111592185,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",25,16,15.803014176421584,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,9,19.049805004754123,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,8,22.240025989384836,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,11,16.668619257076447,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,8,19.310257274819087,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,19,12.290005708540765,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",25,8,33.62074892043481,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,2,30.953379503998868,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
